순위,제목,가수명
1,퀸카 (Queencard),(여자)아이들
2,I AM,IVE (아이브)
3,HARD,SHINee (샤이니)
4,"이브, 프시케 그리고 푸른 수염의 아내",LE SSERAFIM (르세라핌)
5,Spicy,aespa
6,Kitsch,IVE (아이브)
7,UNFORGIVEN (feat. Nile Rodgers),LE SSERAFIM (르세라핌)
8,Hype Boy,NewJeans
9,Ditto,NewJeans
10,Steal The Show (From “엘리멘탈”),Lauv(라우브)
11,Cupid,FIFTY FIFTY
12,헤어지자 말해요,박재정
13,Attention,NewJeans
14,손오공,세븐틴(SEVENTEEN)
15,OMG,NewJeans
16,꽃,지수(JISOO)
17,JUICE,SHINee (샤이니)
18,Thirsty,aespa
19,사건의 지평선,윤하(Younha/ユンナ)
20,Dangerously,Charlie Puth(찰리 푸스)
21,KNOCK,이채연
22,After LIKE,IVE (아이브)
23,건물 사이에 피어난 장미 (Rose Blossom),H1-KEY (하이키)
24,Satellite,SHINee (샤이니)
25,I Don’t Think That I Like Her,Charlie Puth(찰리 푸스)
26,Allergy,(여자)아이들
27,Nxde,(여자)아이들
28,Teddy Bear,STAYC(스테이씨)
29,LOVE DIVE,IVE (아이브)
30,10X,SHINee (샤이니)
31,ELEVEN,IVE (아이브)
32,찬란한 하루,멜로망스(MeloMance)
33,다정히 내 이름을 부르면,경서예지
34,Feel My Rhythm,Red Velvet (레드벨벳)
35,strawberry moon,아이유(IU)
36,도깨비불 (Illusion),aespa
37,Pink Venom,BLACKPINK
38,정이라고 하자 (Feat. 10CM),BIG Naughty (서동현)
39,The Feeling,SHINee (샤이니)
40,ANTIFRAGILE,LE SSERAFIM (르세라핌)
41,When I Get Old,Christopher(크리스토퍼)
42,사랑인가 봐,멜로망스(MeloMance)
43,Cookie,NewJeans
44,STAY,The Kid LAROI
45,FEARLESS,LE SSERAFIM (르세라핌)
46,나의 바람 (Wind And Wish),비투비
47,That’s Not How This Works (feat. Dan + Shay),Charlie Puth(찰리 푸스)
48,파이팅 해야지 (Feat. 이영지),부석순(SEVENTEEN)
49,Off My Face,Justin Bieber(저스틴 비버)
50,Like It,SHINee (샤이니)
51,VIBE (feat. Jimin of BTS),태양
52,나의 X에게,경서
53,한 페이지가 될 수 있게,DAY6 (데이식스)
54,너의 모든 순간,성시경
55,심(心),DK(디셈버)
56,Heaven(2023),임재현
57,Salty & Sweet,aespa
58,물론,허각
59,Dynamite,방탄소년단
60,사실말야내가말야그게그러니까말이야,케이시
61,Shut Down,BLACKPINK
62,오르트구름,윤하(Younha/ユンナ)
63,"모든 날, 모든 순간 (Every day, Every Moment)",폴킴(Paul Kim)
64,사랑은 늘 도망가,임영웅
65,FRIEND THE END,볼빨간사춘기
66,잠깐 시간 될까,이무진
67,SOS,강다니엘(KANG DANIEL)
68,Love Me Like This,NMIXX
69,그라데이션,10CM
70,Identity,SHINee (샤이니)
71,TOMBOY,(여자)아이들
72,그때 그 순간 그대로 (그그그),WSG워너비 (가야G)
73,Candy,NCT DREAM
74,나에게 그대만이,탑현
75,That's Hilarious,Charlie Puth(찰리 푸스)
76,WHEN I MOVE,카라(Kara)
77,해요 (2022),#안녕
78,사랑의 바보,제이세라(J-Cera)
79,사랑..그게 뭔데,지아(Zia)
80,INVU,태연 (TAEYEON)
81,CHRISTIAN,지올팍(Zior Park)
82,빛이 나는 너에게,던 (DAWN)
83,취중고백,김민석 (멜로망스)
84,Gravity,SHINee (샤이니)
85,주저하는 연인들을 위해,잔나비
86,불면증 (Insomnia),SHINee (샤이니)
87,Cupid (Twin Ver.),FIFTY FIFTY
88,Monologue,테이(Tei)
89,드라마,아이유(IU)
90,Sweet Misery,SHINee (샤이니)
91,Candy (Feat. Zion.T),박재범
92,특,Stray Kids (스트레이 키즈)
93,Broken Melodies,NCT DREAM
94,NOT SORRY (Feat. pH-1) (Prod. by Slom),이영지
95,Poppy (Korean Ver.),STAYC(스테이씨)
96,사랑하지 않아서 그랬니,지아(Zia)
97,한강에서 (Feat. BIG Naughty),폴킴(Paul Kim)
98,Leave The Door Open,Bruno Mars(브루노 마스)
99,딱 10CM만,10CM
100,부동의 첫사랑,10CM
